0,1,2,3
0.48488554,0.5035637,0.47223356,0.5197026
0.49267682,0.50188,0.47757462,0.5201347
0.47946092,0.507225,0.47521508,0.523397
0.47575676,0.5080088,0.47222605,0.52439326
0.46690977,0.5160038,0.47701964,0.53089625
0.47376895,0.51044494,0.47855985,0.5261266
0.48768795,0.5132423,0.4784807,0.53029305
0.48245606,0.5220784,0.49749216,0.54035056
0.48428237,0.50813454,0.49219742,0.524506
0.4786314,0.5075464,0.483699,0.5216432
0.46089724,0.517414,0.47621164,0.5283521
0.45690095,0.5210642,0.47650397,0.53120464
0.45206103,0.53112704,0.47522953,0.5399398
0.45597267,0.53822637,0.47379124,0.5474109
0.46530548,0.53832656,0.4751853,0.5481269
0.46006158,0.52976555,0.47755063,0.53940076
0.45991027,0.5312225,0.48519635,0.5402015
0.44933227,0.527905,0.49307016,0.53620946
0.43880033,0.5359325,0.49114308,0.54394925
0.4239585,0.54257625,0.48650336,0.550597
0.44183788,0.54422814,0.49536502,0.55798966
0.44481722,0.55388093,0.4915355,0.56497824
0.44008616,0.5525318,0.489583,0.56244606
0.42953154,0.5452062,0.49982622,0.55297285
0.43666804,0.54509073,0.50804335,0.5548439
0.41759035,0.5603983,0.5261113,0.56277114
0.41797552,0.55728513,0.5252613,0.56122357
0.41086423,0.5531337,0.5185189,0.55675954
0.41497365,0.5501561,0.5111411,0.5548935
0.40509424,0.5509495,0.5113217,0.5538104
0.39189112,0.5513614,0.5137134,0.5498096
0.38944474,0.54575145,0.49371335,0.5454457
0.39557728,0.53848666,0.50796705,0.5383788
0.40146375,0.5348653,0.5042935,0.53700614
0.4130949,0.5254371,0.50191295,0.53208727
0.40959582,0.5157691,0.49414897,0.5213618
0.4071771,0.51154107,0.49440813,0.51752824
0.3955969,0.52162045,0.49655256,0.5259125
0.38506386,0.52984375,0.49654987,0.53104395
0.3827115,0.53457034,0.49452797,0.53465074
0.36978924,0.53244704,0.49071857,0.52754384
0.37776545,0.5351116,0.48135266,0.5342253
0.38430417,0.53376186,0.48777708,0.5348337
0.38140988,0.53372014,0.48940516,0.53541887
0.3765287,0.5374252,0.48975423,0.53782374
0.37646616,0.52630025,0.4934869,0.5237967
0.37918234,0.5288542,0.48476306,0.52803105
0.39345434,0.52322704,0.47218552,0.5251676
0.39438215,0.52324104,0.47803953,0.52303046
0.41118574,0.51001126,0.45289704,0.513802
0.40236297,0.52233297,0.44461045,0.5242495
0.41172728,0.51918584,0.45843634,0.5229613
0.4073415,0.514541,0.4641534,0.5168163
0.40354717,0.5201721,0.4680761,0.5215184
0.40570673,0.51373726,0.4658105,0.5152343
0.40454897,0.5123848,0.4765226,0.51529765
0.40414074,0.51454157,0.47166732,0.51551574
0.39455667,0.52557665,0.48357287,0.5233254
0.3971592,0.5325362,0.48205838,0.5318513
0.40388653,0.53685284,0.48820725,0.537597
0.39767227,0.53531337,0.50260967,0.5321951
0.41259196,0.53441644,0.500519,0.5371356
0.4291333,0.53347003,0.5174191,0.5391061
0.43932733,0.534169,0.5132706,0.54167503
0.44751754,0.540227,0.5281344,0.54715914
0.44113365,0.52939147,0.51998204,0.53573483
0.45424917,0.52666694,0.5191025,0.53702086
0.45665932,0.52300984,0.5061223,0.53399193
0.4654638,0.52640986,0.5123735,0.5399291
0.46701136,0.539133,0.49964178,0.5515998
0.47550786,0.5351722,0.5059703,0.55047387
0.4757264,0.5388422,0.5062043,0.5556874
0.47706118,0.54919744,0.49205172,0.56593573
0.4711192,0.54836226,0.487415,0.5664833
0.4840039,0.5458445,0.49122384,0.5676777
0.49005607,0.5511082,0.49650326,0.57157916
0.49482295,0.5547864,0.48994443,0.576219
0.5121784,0.5535192,0.49504617,0.57743126
0.500819,0.5592324,0.4942664,0.5802679
0.4905379,0.5571797,0.50103325,0.5764406
0.49597335,0.5550036,0.48764512,0.5756028
0.4897549,0.5475692,0.4784479,0.5654725
0.50112456,0.5449112,0.48558208,0.56600595
0.4933151,0.54862815,0.48405847,0.56733423
0.48900428,0.5626549,0.47009873,0.578142
0.49390092,0.56898534,0.46940503,0.58385366
0.4993383,0.5628932,0.46885154,0.57531494
0.5073913,0.56188244,0.47241855,0.57559
0.50962454,0.5654857,0.4646367,0.57855475
0.5067081,0.5723889,0.47840247,0.5846488
0.5148849,0.5710161,0.484903,0.5854498
0.51296693,0.57299984,0.49611977,0.5875446
0.51191145,0.57425666,0.50141376,0.588467
0.515688,0.5671261,0.5101989,0.5818661
0.51212174,0.5668795,0.5119547,0.58163595
0.5127379,0.5685452,0.5094102,0.5843536
0.51497525,0.5657752,0.51655287,0.5827578
0.5157048,0.5691028,0.5344135,0.5878253
0.49955535,0.56370604,0.52828664,0.5806441
0.49982253,0.5718677,0.5126976,0.5890742
0.50613976,0.5841139,0.52086455,0.60217726
0.4927378,0.58892137,0.5150247,0.6032123
0.4924732,0.5863251,0.5140986,0.60200363
0.4903544,0.5909732,0.505979,0.60684913
0.49787202,0.588625,0.51999956,0.6102727
0.50321764,0.58551234,0.527229,0.60881764
0.5010244,0.5821816,0.5176974,0.6050401
0.49691102,0.5721508,0.513323,0.5923019
0.50119096,0.5548702,0.5083001,0.57540596
0.49039197,0.54618305,0.49890804,0.56225264
0.48984945,0.5439577,0.48899782,0.5571845
0.48328164,0.537275,0.49881425,0.5517908
0.4825743,0.5277876,0.49908033,0.5439692
0.48986426,0.52204376,0.49275145,0.538173
0.48427203,0.5172036,0.49803218,0.534412
0.4842452,0.5135613,0.4877521,0.5295074
0.47338164,0.5077408,0.47653642,0.5230497
0.455991,0.51746243,0.48279855,0.5307279
0.45643473,0.5173163,0.48808458,0.5310882
0.4517025,0.5122605,0.49431178,0.5248432
0.4501836,0.50759864,0.4756731,0.5203137
0.4685419,0.5045064,0.46539482,0.5199506
0.4785198,0.49790218,0.4714749,0.5138738
0.46894905,0.4932046,0.47407958,0.50796956
0.47129044,0.48782885,0.49388346,0.5038051
0.46251655,0.48025903,0.49674436,0.49351683
0.45852292,0.48747417,0.49666536,0.50132304
0.45485118,0.49176195,0.48888156,0.5049941
0.46081543,0.49429956,0.49472156,0.50886184
0.45582488,0.5002555,0.49125314,0.51267976
0.4511352,0.50009197,0.50118995,0.5117157
0.45385417,0.51757795,0.5104243,0.52844137
0.44815323,0.51798415,0.51805,0.52658325
0.45733032,0.5187047,0.5160486,0.53106725
0.45008472,0.5185743,0.5310634,0.53026426
0.44320527,0.52367777,0.51159155,0.5343123
0.44044378,0.51556426,0.5055263,0.5266126
0.43515193,0.52899796,0.51163787,0.53991944
0.44951487,0.5242212,0.5071896,0.5372019
0.4534774,0.52268994,0.5046572,0.537522
0.4563643,0.52111584,0.49813986,0.53619194
0.45145372,0.51285547,0.480162,0.5258575
0.4576131,0.50509137,0.48135254,0.52031094
0.44850004,0.5120979,0.48851922,0.5255995
0.4315972,0.50894034,0.49505267,0.5202485
0.43176842,0.5089223,0.49819311,0.52228266
0.42884782,0.5085177,0.48968026,0.5193633
0.4420804,0.5030733,0.49579975,0.5168193
0.4462864,0.50664276,0.5011924,0.5198909
0.45396078,0.517828,0.48229715,0.5323768
0.45060423,0.51440316,0.47223067,0.5272977
0.44440636,0.5014837,0.4694103,0.51427966
0.44323453,0.51624626,0.4679602,0.52996767
0.4411149,0.51602894,0.46865693,0.5269169
0.44225454,0.5102103,0.47556987,0.5191954
0.43689933,0.52636147,0.47554967,0.5339776
0.43785825,0.52923656,0.4745164,0.5350924
0.43346706,0.5226031,0.475436,0.52775645
0.43025878,0.5209822,0.4593126,0.52511626
0.4292824,0.5237774,0.4602727,0.52969116
0.4164181,0.5337781,0.4715449,0.53689617
0.42184874,0.52292603,0.4694557,0.52752596
0.39930522,0.54059607,0.4688007,0.5401586
